source_file,sweep_type,N,tau,iters,lr,method,Q,CV2,Var_nu,mu_l2_sq,mu_entropy,mu_max,mu_min,mu_active_count,mu_sum,weighted_residual_l1,weighted_residual_l2,elapsed_s
tau_sweep_N16.json,tau_sweep,16,0.001,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.4346399307250977
tau_sweep_N16.json,tau_sweep,16,0.001,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.3521809577941895
tau_sweep_N16.json,tau_sweep,16,0.001,100,0.05,μ-Optimized,0.9978380170772159,0.0021666672203137973,0.025907929986715317,0.14139658212661743,2.1683549880981445,0.28359296917915344,0.0,11,1.0,0.44366660714149475,0.7234991788864136,1.2740726470947266
tau_sweep_N16.json,tau_sweep,16,0.01,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.3532147407531738
tau_sweep_N16.json,tau_sweep,16,0.01,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.3371374607086182
tau_sweep_N16.json,tau_sweep,16,0.01,100,0.05,μ-Optimized,0.9977497555939016,0.0022553194260208375,0.026960689574480057,0.13903853297233582,2.1784210205078125,0.2786513864994049,0.0,11,1.0,0.43712717294692993,0.7173953056335449,1.3728530406951904
tau_sweep_N16.json,tau_sweep,16,0.1,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.3914494514465332
tau_sweep_N16.json,tau_sweep,16,0.1,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.3826987743377686
tau_sweep_N16.json,tau_sweep,16,0.1,100,0.05,μ-Optimized,0.9968940016881749,0.0031156755949631938,0.037147652357816696,0.12200431525707245,2.2516658306121826,0.238804891705513,0.0,11,0.9999999403953552,0.3843175172805786,0.6661043167114258,1.5706815719604492
tau_sweep_N16.json,tau_sweep,16,1.0,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.498199701309204
tau_sweep_N16.json,tau_sweep,16,1.0,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.4786136150360107
tau_sweep_N16.json,tau_sweep,16,1.0,100,0.05,μ-Optimized,0.9924197937933181,0.007638104614689324,0.08980478346347809,0.09504323452711105,2.378523588180542,0.14405332505702972,0.0,12,1.0,0.2568844258785248,0.5234223008155823,1.5302367210388184
tau_sweep_N16.json,tau_sweep,16,10.0,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.4859275817871094
tau_sweep_N16.json,tau_sweep,16,10.0,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.4787957668304443
tau_sweep_N16.json,tau_sweep,16,10.0,100,0.05,μ-Optimized,0.006173013502111715,160.99543377928978,0.06887504458427429,0.06271800398826599,2.770765542984009,0.06996612995862961,0.04987097531557083,16,1.0,0.591705858707428,2.021127462387085,1.5010714530944824
steps_sweep_tau001.json,steps_sweep,16,0.01,100,0.05,IG,0.004430115504626786,224.72774884889708,0.049853768199682236,0.0625,2.7725887298583984,0.0625,0.0625,16,1.0,0.6935903429985046,2.2519819736480713,1.3487911224365234
steps_sweep_tau001.json,steps_sweep,16,0.01,100,0.05,IDG-PDF,4.447773497025143e-05,22482.159285625534,0.0027913618832826614,0.7292065620422363,0.7246318459510803,0.8516094088554382,0.00011460546375019476,16,1.0,7.656315326690674,8.216893196105957,1.265308141708374
steps_sweep_tau001.json,steps_sweep,16,0.01,100,0.05,μ-Optimized,0.9977497555939016,0.0022553194260208375,0.026960689574480057,0.13903853297233582,2.1784210205078125,0.2786513864994049,0.0,11,1.0,0.43712717294692993,0.7173953056335449,1.2891733646392822
steps_sweep_tau001.json,steps_sweep,32,0.01,100,0.05,IG,0.027788784971614584,34.98574032731083,0.09884040802717209,0.03125,3.465736150741577,0.03125,0.03125,32,1.0,0.31366607546806335,1.383055329322815,2.81240177154541
steps_sweep_tau001.json,steps_sweep,32,0.01,100,0.05,IDG-PDF,0.0036019053432497098,276.63083832119264,0.014059526845812798,0.5490506291389465,1.1689516305923462,0.7300452589988708,0.00013733049854636192,32,1.0,5.787659645080566,6.613935947418213,2.688417434692383
steps_sweep_tau001.json,steps_sweep,32,0.01,100,0.05,μ-Optimized,0.9993484567731212,0.0006519680122211758,0.0024504167959094048,0.05322137475013733,3.1206119060516357,0.14893296360969543,0.0,26,1.0,0.17966130375862122,0.42513561248779297,2.7489545345306396
steps_sweep_tau001.json,steps_sweep,64,0.01,100,0.05,IG,0.09565394254356062,9.45435215118919,2.6258351802825928,0.015625,4.1588826179504395,0.015625,0.015625,64,1.0,0.2491087019443512,1.3205437660217285,5.981160879135132
steps_sweep_tau001.json,steps_sweep,64,0.01,100,0.05,IDG-PDF,0.029555299073387376,32.834880084175325,0.9343705773353577,0.34432029724121094,1.7766536474227905,0.5536656975746155,8.673589945829008e-06,64,1.0,4.803747653961182,5.691040515899658,5.811256408691406
steps_sweep_tau001.json,steps_sweep,64,0.01,100,0.05,μ-Optimized,0.9998271333956753,0.00017289649235422767,0.005818758625537157,0.07657825201749802,3.522714853286743,0.2570987641811371,0.0,55,1.0,2.255694627761841,4.434895992279053,5.906835317611694
steps_sweep_tau001.json,steps_sweep,128,0.01,100,0.05,IG,0.3361146619327684,1.9751751805460538,0.6776599287986755,0.0078125,4.852030277252197,0.0078125,0.0078125,128,1.0,0.06865239143371582,0.4524015188217163,14.795019149780273
steps_sweep_tau001.json,steps_sweep,128,0.01,100,0.05,IDG-PDF,0.40368853250996223,1.4771573118077659,0.24922029674053192,0.2684082090854645,2.2378995418548584,0.4854874610900879,4.803815954801394e-06,128,1.0000001192092896,2.3352904319763184,2.8502140045166016,13.140583276748657
steps_sweep_tau001.json,steps_sweep,128,0.01,100,0.05,μ-Optimized,0.9997932618111184,0.00020678093839822793,0.00036874154466204345,0.02762713097035885,4.373443126678467,0.1422863006591797,0.0,107,1.0,0.02177274040877819,0.053874727338552475,13.375020503997803
